50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.453539,,,,,,,,,,,,,,,73ed008d-ab11-4328-9a40-7469aebd9724,1763,,"[30.4, 29.0]",3869685,45,,,,-1.0333036,,Right Foot,,,"[39.4, 13.9]",,Ground Pass,,17.57868,,,Nicolás Alejandro Tagliafico,5507.0,,,,,,2,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,80,Argentina,779,['5887da58-2721-4798-a1bf-3c5b2bd7589a'],6,,,,,,,,,,,,,,,,,Argentina,779,00:00:06.444,Pass,
,,,,,,,,,,,,,,,,,,,,1.165651,,,,,,,,,,,,,,,6e8a7ec9-a05d-41cb-9979-65b1aa49b41b,1766,,"[39.2, 13.9]",3869685,45,,,,-0.40937158,,Left Foot,,,"[63.4, 3.4]",,Ground Pass,,26.379726,,,Ángel Fabián Di María Hernández,2995.0,,,,,,2,From Kick Off,Nicolás Alejandro Tagliafico,5507.0,Left Back,80,Argentina,779,['32f9c5ca-b820-4f40-af66-f23e28a48dbb'],8,,,,,,,,,,,,,,,,,Argentina,779,00:00:08.637,Pass,
,,,,,,,,,,,,,,,,,,,,1.112339,,,,,,,,,,,,,,,570c85b3-2b70-43db-9891-90f117a3132d,1770,,"[57.6, 4.0]",3869685,45,,,,3.0352538,,Left Foot,,,"[39.8, 5.9]",,Low Pass,,17.901117,,,Nicolás Alejandro Tagliafico,5507.0,,,,,,2,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Left Wing,80,Argentina,779,['9dc45562-6273-4299-b4a0-d6ac8398d50c'],11,,,,,,,,,,,,,,,,,Argentina,779,00:00:11.593,Pass,
,,,,,,,,,,,,,,,,,,,,1.13092,,,,,,,,,,,,,,,ef237b6b-e002-447f-9546-d37caae6f2ba,1773,,"[38.3, 7.4]",3869685,45,,,,2.477764,,Left Foot,,,"[25.9, 17.1]",,Ground Pass,,15.743253,,,Nicolás Hernán Otamendi,3090.0,,,,,,2,From Kick Off,Nicolás Alejandro Tagliafico,5507.0,Left Back,80,Argentina,779,['0225903a-2121-4201-a94f-86d2747aa0af'],13,,,,,,,,,,,,,,,,,Argentina,779,00:00:13.751,Pass,
,,,,,,,,,,,,,,,,,,,,1.657289,,,,,,,,,,,,,,,26c58ba6-9094-45d8-8e75-2c6af34ac060,1776,,"[25.7, 17.5]",3869685,45,,,,2.4451895,,Right Foot,,,"[8.0, 32.3]",,Ground Pass,,23.072277,,,Damián Emiliano Martínez,6909.0,,,,,,2,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,80,Argentina,779,['306b1b67-1cfa-458d-b0cb-710cc2c130b0'],20,,,,,,,,,,,,,,,,,Argentina,779,00:00:20.660,Pass,
,,,,,,,,,,,,,,,,,,,,2.773809,,,,,,,,,,,,,,,19241442-8f2f-4b2a-b7e7-1ab6412b4a08,1779,,"[6.7, 30.8]",3869685,45,,,,-0.4923136,,Left Foot,,,"[50.7, 7.2]",,High Pass,,49.92955,Incomplete,,,,,,,,,2,From Kick Off,Damián Emiliano Martínez,6909.0,Goalkeeper,80,Argentina,779,['d8f311a1-3d1c-47b2-bcd3-2d4bdb6e8140'],23,,,,,,,,,,,,,,,,,Argentina,779,00:00:23.980,Pass,
,,,,,,,,,,,,,,,,,,,,1.901847,,,,,,,,,,,,,,,d8f311a1-3d1c-47b2-bcd3-2d4bdb6e8140,1781,,"[69.4, 72.9]",3869685,45,,,True,-1.7200539,,,,,"[67.4, 59.6]",,High Pass,,13.449535,,,Aurélien Djani Tchouaméni,10481.0,,,,,Recovery,2,From Kick Off,Jules Koundé,4445.0,Right Back,80,Argentina,779,"['19241442-8f2f-4b2a-b7e7-1ab6412b4a08', '25531380-caac-49a0-a280-266c29457d5e', '670204ad-b2c3-40dc-aaf4-b59398fe8943']",26,,,,,,,,,,,,,,,,,France,771,00:00:26.754,Pass,True
,,,,,,,,,,,,,,,,,,,,0.327856,,,,,,,,,,,,,,,ffc5b90d-d93b-4608-a929-e17ef4441935,1783,,"[67.2, 59.6]",3869685,45,,,,-0.16859694,,Left Foot,,,"[71.9, 58.8]",,Low Pass,,4.767599,Incomplete,,,,,,,,,2,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,80,Argentina,779,['e487d5da-f8be-48d2-83ea-4540a4b399cc'],28,,,,,,,,,,,,,,,,,France,771,00:00:28.656,Pass,
,,,,,,,,,,,,,,,,,,,,1.330959,,,,,,,,,,,,,,,d38f42ba-c3dc-468c-8f08-682afabc7ef9,1788,,"[70.6, 21.1]",3869685,45,,,,-0.2237354,,Left Foot,,,"[87.3, 17.3]",,Ground Pass,,17.126879,,,Julián Álvarez,29560.0,,,,,,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,80,Argentina,779,['f481674f-8adc-4065-be62-8e9d97b32956'],32,,,,,,,,,,,,,,,,,Argentina,779,00:00:32.525,Pass,
,,,,,,,,,,,,,,,,,,,,2.116145,,,,,,,,,,,,,,,9c2c702d-51e5-4880-8ff8-ddcf491a66d0,1792,,"[97.0, 29.3]",3869685,45,,,,1.5210154,,Right Foot,,,"[98.4, 57.4]",,Low Pass,,28.134853,,,Rodrigo Javier De Paul,7797.0,,,,,,2,From Kick Off,Julián Álvarez,29560.0,Center Forward,80,Argentina,779,"['191545e0-89c4-4456-838f-669c7e8f1416', '97c75d2e-2c15-44be-ae83-3a25cb4870c5']",36,,,,,,,,,,,,,,,,,Argentina,779,00:00:36.213,Pass,True
