match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3857286,2022-11-20,18:00:00.000,International - FIFA World Cup,2022,Qatar,Ecuador,0,2,available,available,2023-07-25T07:10:18.861818,2023-07-25T07:19:21.209321,1,Group Stage,Al Bayt Stadium,Daniele Orsato,Félix Sánchez Bas,Gustavo Julio Alfaro,1.1.0,2,2
3857301,2022-11-25,15:00:00.000,International - FIFA World Cup,2022,Qatar,Senegal,1,3,available,available,2023-04-11T14:46:12.121219,2023-04-27T00:33:06.325512,2,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Félix Sánchez Bas,Aliou Cissé,1.1.0,2,2
3857300,2022-11-22,12:00:00.000,International - FIFA World Cup,2022,Argentina,Saudi Arabia,1,2,available,available,2023-06-18T15:28:07.620153,2023-06-19T15:59:46.628887,1,Group Stage,Lusail Stadium,Slavko Vinčić,Lionel Sebastián Scaloni,Hervé Renard,1.1.0,2,2
3857299,2022-11-28,15:00:00.000,International - FIFA World Cup,2022,South Korea,Ghana,2,3,available,available,2023-03-17T21:51:17.645596,2023-06-19T12:37:02.364850,2,Group Stage,Education City Stadium ,Anthony Taylor,Paulo Jorge Gomes Bento,Otto Addo,1.1.0,2,2
3857298,2022-11-24,18:00:00.000,International - FIFA World Cup,2022,Portugal,Ghana,3,2,available,available,2023-02-07T11:31:35.781677,2023-04-27T00:36:17.036958,1,Group Stage,Stadium 974,Ismail Elfath,Fernando Manuel Fernandes da Costa Santos,Otto Addo,1.1.0,2,2
3857297,2022-11-26,15:00:00.000,International - FIFA World Cup,2022,Poland,Saudi Arabia,2,0,available,available,2023-02-20T08:54:08.741754,2023-04-27T00:19:40.857571,2,Group Stage,Education City Stadium ,Wilton Pereira Sampaio,Czesław Michniewicz,Hervé Renard,1.1.0,2,2
3857296,2022-12-01,17:00:00.000,International - FIFA World Cup,2022,Croatia,Belgium,0,0,available,available,2023-03-18T22:39:25.997468,2023-05-30T17:12:46.707170,3,Group Stage,Ahmad bin Ali Stadium,Anthony Taylor,Zlatko Dalić,Roberto Martínez Montoliú,1.1.0,2,2
3857293,2022-12-02,17:00:00.000,International - FIFA World Cup,2022,Ghana,Uruguay,0,2,available,available,2023-03-11T18:29:41.874026,2023-06-19T17:29:16.171687,3,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Otto Addo,Diego Martín Alonso López,1.1.0,2,2
3857292,2022-12-01,21:00:00.000,International - FIFA World Cup,2022,Costa Rica,Germany,2,4,available,available,2023-04-11T12:52:20.153725,2023-06-19T12:41:31.766700,3,Group Stage,Al Bayt Stadium,Stéphanie Frappart,Luis Fernando Suárez Guzman,Hans-Dieter Flick,1.1.0,2,2
3857291,2022-11-23,18:00:00.000,International - FIFA World Cup,2022,Spain,Costa Rica,7,0,available,available,2023-01-26T05:29:57.946676,2023-04-27T00:39:03.690954,1,Group Stage,Al Thumama Stadium,,Luis Enrique Martínez García,Luis Fernando Suárez Guzman,1.1.0,2,2
